2021-01-22 00:00:27.710 INFO   org.avengers.capstone.hostelrenting.handler.ScheduledTasks.lambda$sendNotificationAboutNearlyExpiringContract$0 132  - fu67iWv_PtqSOv9b4IhUXq:APA91bEH0YvR9S79OlucyT9CWNJUr2CroDBfI_xa8SlYyXQGeEtCIk4_e5zkcadftba1mAGVWAgb84OJBvioEEkvk2EQCwUzQTjn9igE9D3W0d64Qt3mjwR9siXtpv-IxxzRsat0XIfI
2021-01-22 00:00:27.861 INFO   org.avengers.capstone.hostelrenting.handler.ScheduledTasks.lambda$sendNotificationAboutNearlyExpiringContract$0 128  - dummyToken
2021-01-22 00:00:27.991 INFO   org.avengers.capstone.hostelrenting.handler.ScheduledTasks.lambda$sendNotificationAboutNearlyExpiringContract$0 132  - fu67iWv_PtqSOv9b4IhUXq:APA91bEH0YvR9S79OlucyT9CWNJUr2CroDBfI_xa8SlYyXQGeEtCIk4_e5zkcadftba1mAGVWAgb84OJBvioEEkvk2EQCwUzQTjn9igE9D3W0d64Qt3mjwR9siXtpv-IxxzRsat0XIfI
2021-01-22 00:00:28.146 INFO   org.avengers.capstone.hostelrenting.handler.ScheduledTasks.lambda$sendNotificationAboutNearlyExpiringContract$0 128  - dummyToken
2021-01-22 00:00:28.282 INFO   org.avengers.capstone.hostelrenting.handler.ScheduledTasks.lambda$sendNotificationAboutNearlyExpiringContract$0 132  - fu67iWv_PtqSOv9b4IhUXq:APA91bEH0YvR9S79OlucyT9CWNJUr2CroDBfI_xa8SlYyXQGeEtCIk4_e5zkcadftba1mAGVWAgb84OJBvioEEkvk2EQCwUzQTjn9igE9D3W0d64Qt3mjwR9siXtpv-IxxzRsat0XIfI
2021-01-22 00:00:28.437 INFO   org.avengers.capstone.hostelrenting.handler.ScheduledTasks.lambda$sendNotificationAboutNearlyExpiringContract$0 128  - dummyToken
2021-01-22 00:00:28.591 INFO   org.avengers.capstone.hostelrenting.handler.ScheduledTasks.lambda$sendNotificationAboutNearlyExpiringContract$0 132  - fu67iWv_PtqSOv9b4IhUXq:APA91bEH0YvR9S79OlucyT9CWNJUr2CroDBfI_xa8SlYyXQGeEtCIk4_e5zkcadftba1mAGVWAgb84OJBvioEEkvk2EQCwUzQTjn9igE9D3W0d64Qt3mjwR9siXtpv-IxxzRsat0XIfI
2021-01-22 00:00:28.746 INFO   org.avengers.capstone.hostelrenting.handler.ScheduledTasks.lambda$sendNotificationAboutNearlyExpiringContract$0 128  - dummyToken
2021-01-22 00:00:28.897 INFO   org.avengers.capstone.hostelrenting.handler.ScheduledTasks.lambda$sendNotificationAboutNearlyExpiringContract$0 132  - fu67iWv_PtqSOv9b4IhUXq:APA91bEH0YvR9S79OlucyT9CWNJUr2CroDBfI_xa8SlYyXQGeEtCIk4_e5zkcadftba1mAGVWAgb84OJBvioEEkvk2EQCwUzQTjn9igE9D3W0d64Qt3mjwR9siXtpv-IxxzRsat0XIfI
2021-01-22 00:00:29.039 INFO   org.avengers.capstone.hostelrenting.handler.ScheduledTasks.lambda$sendNotificationAboutNearlyExpiringContract$0 128  - dummyToken
2021-01-22 00:00:29.179 INFO   org.avengers.capstone.hostelrenting.handler.ScheduledTasks.lambda$sendNotificationAboutNearlyExpiringContract$0 132  - fu67iWv_PtqSOv9b4IhUXq:APA91bEH0YvR9S79OlucyT9CWNJUr2CroDBfI_xa8SlYyXQGeEtCIk4_e5zkcadftba1mAGVWAgb84OJBvioEEkvk2EQCwUzQTjn9igE9D3W0d64Qt3mjwR9siXtpv-IxxzRsat0XIfI
2021-01-22 00:00:29.322 INFO   org.avengers.capstone.hostelrenting.handler.ScheduledTasks.lambda$sendNotificationAboutNearlyExpiringContract$0 128  - dummyToken
2021-01-22 00:00:29.470 INFO   org.avengers.capstone.hostelrenting.handler.ScheduledTasks.lambda$sendNotificationAboutNearlyExpiringContract$0 132  - fu67iWv_PtqSOv9b4IhUXq:APA91bEH0YvR9S79OlucyT9CWNJUr2CroDBfI_xa8SlYyXQGeEtCIk4_e5zkcadftba1mAGVWAgb84OJBvioEEkvk2EQCwUzQTjn9igE9D3W0d64Qt3mjwR9siXtpv-IxxzRsat0XIfI
2021-01-22 00:00:29.622 INFO   org.avengers.capstone.hostelrenting.handler.ScheduledTasks.lambda$sendNotificationAboutNearlyExpiringContract$0 128  - dummyToken
2021-01-22 00:00:29.739 INFO   org.avengers.capstone.hostelrenting.handler.ScheduledTasks.lambda$sendNotificationAboutNearlyExpiringContract$0 132  - fu67iWv_PtqSOv9b4IhUXq:APA91bEH0YvR9S79OlucyT9CWNJUr2CroDBfI_xa8SlYyXQGeEtCIk4_e5zkcadftba1mAGVWAgb84OJBvioEEkvk2EQCwUzQTjn9igE9D3W0d64Qt3mjwR9siXtpv-IxxzRsat0XIfI
2021-01-22 00:00:29.926 INFO   org.avengers.capstone.hostelrenting.handler.ScheduledTasks.lambda$sendNotificationAboutNearlyExpiringContract$0 128  - dummyToken
2021-01-22 00:00:30.061 INFO   org.avengers.capstone.hostelrenting.handler.ScheduledTasks.lambda$sendNotificationAboutNearlyExpiringContract$0 132  - fu67iWv_PtqSOv9b4IhUXq:APA91bEH0YvR9S79OlucyT9CWNJUr2CroDBfI_xa8SlYyXQGeEtCIk4_e5zkcadftba1mAGVWAgb84OJBvioEEkvk2EQCwUzQTjn9igE9D3W0d64Qt3mjwR9siXtpv-IxxzRsat0XIfI
2021-01-22 00:00:30.218 INFO   org.avengers.capstone.hostelrenting.handler.ScheduledTasks.lambda$sendNotificationAboutNearlyExpiringContract$0 128  - dummyToken
2021-01-22 00:00:30.343 INFO   org.avengers.capstone.hostelrenting.handler.ScheduledTasks.lambda$sendNotificationAboutNearlyExpiringContract$0 132  - fu67iWv_PtqSOv9b4IhUXq:APA91bEH0YvR9S79OlucyT9CWNJUr2CroDBfI_xa8SlYyXQGeEtCIk4_e5zkcadftba1mAGVWAgb84OJBvioEEkvk2EQCwUzQTjn9igE9D3W0d64Qt3mjwR9siXtpv-IxxzRsat0XIfI
2021-01-22 00:00:30.503 INFO   org.avengers.capstone.hostelrenting.handler.ScheduledTasks.lambda$sendNotificationAboutNearlyExpiringContract$0 128  - dummyToken
2021-01-22 00:00:30.621 INFO   org.avengers.capstone.hostelrenting.handler.ScheduledTasks.lambda$sendNotificationAboutNearlyExpiringContract$0 132  - fu67iWv_PtqSOv9b4IhUXq:APA91bEH0YvR9S79OlucyT9CWNJUr2CroDBfI_xa8SlYyXQGeEtCIk4_e5zkcadftba1mAGVWAgb84OJBvioEEkvk2EQCwUzQTjn9igE9D3W0d64Qt3mjwR9siXtpv-IxxzRsat0XIfI
2021-01-22 00:00:30.791 INFO   org.avengers.capstone.hostelrenting.handler.ScheduledTasks.lambda$sendNotificationAboutNearlyExpiringContract$0 128  - dummyToken
2021-01-22 00:00:30.916 INFO   org.avengers.capstone.hostelrenting.handler.ScheduledTasks.lambda$sendNotificationAboutNearlyExpiringContract$0 132  - fu67iWv_PtqSOv9b4IhUXq:APA91bEH0YvR9S79OlucyT9CWNJUr2CroDBfI_xa8SlYyXQGeEtCIk4_e5zkcadftba1mAGVWAgb84OJBvioEEkvk2EQCwUzQTjn9igE9D3W0d64Qt3mjwR9siXtpv-IxxzRsat0XIfI
2021-01-22 00:00:31.057 INFO   org.avengers.capstone.hostelrenting.handler.ScheduledTasks.lambda$sendNotificationAboutNearlyExpiringContract$0 128  - dummyToken
2021-01-22 00:00:31.209 INFO   org.avengers.capstone.hostelrenting.handler.ScheduledTasks.lambda$sendNotificationAboutNearlyExpiringContract$0 132  - fu67iWv_PtqSOv9b4IhUXq:APA91bEH0YvR9S79OlucyT9CWNJUr2CroDBfI_xa8SlYyXQGeEtCIk4_e5zkcadftba1mAGVWAgb84OJBvioEEkvk2EQCwUzQTjn9igE9D3W0d64Qt3mjwR9siXtpv-IxxzRsat0XIfI
2021-01-22 00:00:31.341 INFO   org.avengers.capstone.hostelrenting.handler.ScheduledTasks.lambda$sendNotificationAboutNearlyExpiringContract$0 128  - dummyToken
